category,model_id,description,pipeline,modality,type,script_path,url
Speech_Audio,pyannote/speaker-diarization,Speaker segmentation and identification,audio-classification,Audio,Neural/Deep,sunnysett_models/Speech_Audio/pyannote_speaker_diarization.py,https://huggingface.co/pyannote/speaker-diarization
Supply_Chain,t5-base,T5 model for text-to-text tasks in supply chain management,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Supply_Chain/t5_base.py,
Tabular_TimeSeries,autogluon/autogluon-tabular,AutoML for structured data and CSV files,tabular-classification,Tabular/Time-series,Classical/AutoML,sunnysett_models/Tabular_TimeSeries/autogluon_autogluon_tabular.py,https://huggingface.co/autogluon/autogluon-tabular
Tabular_TimeSeries,facebook/prophet,Business forecasting with seasonality,time-series-forecasting,Tabular/Time-series,Classical/AutoML,sunnysett_models/Tabular_TimeSeries/facebook_prophet.py,https://huggingface.co/facebook/prophet
Tabular_TimeSeries,google/tft,Multivariate time series forecasting,time-series-forecasting,Tabular/Time-series,Neural/Deep,sunnysett_models/Tabular_TimeSeries/google_tft.py,https://huggingface.co/google/tft
Tabular_TimeSeries,microsoft/forecast,Enterprise time series forecasting,time-series-forecasting,Tabular/Time-series,Classical/AutoML,sunnysett_models/Tabular_TimeSeries/microsoft_forecast.py,https://huggingface.co/microsoft/forecast
Tabular_TimeSeries,nixtla/nixtla,Time series forecasting for sales and usage,time-series-forecasting,Tabular/Time-series,Neural/Deep,sunnysett_models/Tabular_TimeSeries/nixtla_nixtla.py,https://huggingface.co/nixtla/nixtla
Tabular_TimeSeries,salesforce/codegen-350M-mono,Anomaly detection in tabular data,tabular-classification,Tabular/Time-series,Neural/Deep,sunnysett_models/Tabular_TimeSeries/salesforce_codegen_350M_mono.py,https://huggingface.co/salesforce/codegen-350M-mono
Text_Language,cardiffnlp/twitter-roberta-base-sentiment-latest,Advanced sentiment analysis for social media and customer feedback,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Text_Language/cardiffnlp_twitter_roberta_base_sentiment_latest.py,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest
Text_Language,dbmdz/bert-large-cased-finetuned-conll03-english,Named Entity Recognition for legal documents and contracts,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Text_Language/dbmdz_bert_large_cased_finetuned_conll03_english.py,https://huggingface.co/dbmdz/bert-large-cased-finetuned-conll03-english
Text_Language,deepset/roberta-base-squad2,Extractive question answering for knowledge bases,question-answering,Text/NLP,Neural/Deep,sunnysett_models/Text_Language/deepset_roberta_base_squad2.py,https://huggingface.co/deepset/roberta-base-squad2
Text_Language,facebook/bart-large-cnn,Long document summarization for reports and transcripts,summarization,Text/NLP,Neural/Deep,sunnysett_models/Text_Language/facebook_bart_large_cnn.py,https://huggingface.co/facebook/bart-large-cnn
Text_Language,facebook/bart-large-mnli,Zero-shot topic modeling and classification,zero-shot-classification,Text/NLP,Neural/Deep,sunnysett_models/Text_Language/facebook_bart_large_mnli.py,https://huggingface.co/facebook/bart-large-mnli
Text_Language,sentence-transformers/all-MiniLM-L6-v2,Semantic search and embeddings for document retrieval,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Text_Language/sentence_transformers_all_MiniLM_L6_v2.py,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Time_Series,facebook/forecast,Facebook's forecasting model for business metrics,time-series-forecasting,Tabular/Time-series,Classical/AutoML,sunnysett_models/Time_Series/facebook_forecast.py,https://huggingface.co/facebook/forecast
Vision_Multimodal,Salesforce/blip-image-captioning-base,Image captioning for e-commerce and accessibility,image-to-text,Vision+Text,Neural/Deep,sunnysett_models/Vision_Multimodal/Salesforce_blip_image_captioning_base.py,https://huggingface.co/Salesforce/blip-image-captioning-base
Vision_Multimodal,Salesforce/blip-vqa-base,Visual Question Answering,visual-question-answering,Vision+Text,Neural/Deep,sunnysett_models/Vision_Multimodal/Salesforce_blip_vqa_base.py,https://huggingface.co/Salesforce/blip-vqa-base
Vision_Multimodal,facebook/detr-resnet-50,Object detection and counting,object-detection,Vision,Neural/Deep,sunnysett_models/Vision_Multimodal/facebook_detr_resnet_50.py,https://huggingface.co/facebook/detr-resnet-50
Vision_Multimodal,google/vit-base-patch16-224,Object and brand classification,image-classification,Vision,Neural/Deep,sunnysett_models/Vision_Multimodal/google_vit_base_patch16_224.py,https://huggingface.co/google/vit-base-patch16-224
Vision_Multimodal,microsoft/layoutlmv3-base,Document layout analysis and understanding,document-question-answering,Vision+Text,Neural/Deep,sunnysett_models/Vision_Multimodal/microsoft_layoutlmv3_base.py,https://huggingface.co/microsoft/layoutlmv3-base
Vision_Multimodal,microsoft/trocr-base-printed,Optical Character Recognition for documents,image-to-text,Vision+Text,Neural/Deep,sunnysett_models/Vision_Multimodal/microsoft_trocr_base_printed.py,https://huggingface.co/microsoft/trocr-base-printed
